국적(지역) 및 체류자격별 장단기체류외국인(2021. 4. 30.현재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,단 기 체 류 자 격,,,,,  장 기 체 류 자 격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대륙,국적,성별,총합계,B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),T2(조건부입국허가),기타,,,,,
아시아주,이라크,남성,320,,3,,113,,,18,,8,,,,28,15,,,,1,,,1,2,,1,,2,10,24,,1,4,56,,,,,33,,,,,
아시아주,이라크,여성,143,,,,9,,,15,,3,,,,1,,,,1,,,,,2,,,,3,7,50,,,5,15,,,,,32,,,,,
아시아주,투르크메니스탄,총계,439,,,,19,,,36,,9,,,,,,7,,,,,,,3,,,,68,4,4,150,1,7,,,106,,,25,,,,,
아시아주,투르크메니스탄,남성,237,,,,16,,,24,,3,,,,,,2,,,,,,,2,,,,34,2,2,76,1,1,,,64,,,10,,,,,
아시아주,투르크메니스탄,여성,202,,,,3,,,12,,6,,,,,,5,,,,,,,1,,,,34,2,2,74,,6,,,42,,,15,,,,,
아시아주,아프가니스탄,총계,402,,8,,61,,,50,,12,,,,43,4,3,,,,,,1,4,,,,3,15,64,,3,7,68,,,,,56,,,,,
아시아주,아프가니스탄,남성,316,,7,,60,,,45,,6,,,,43,4,3,,,,,,1,4,,,,2,8,27,,3,7,63,,,,,33,,,,,
아시아주,아프가니스탄,여성,86,,1,,1,,,5,,6,,,,,,,,,,,,,,,,,1,7,37,,,,5,,,,,23,,,,,
아시아주,아랍에미리트연합,총계,261,3,6,,52,,,47,,6,,,1,,4,1,,,,,,,,,,,,,8,,,,40,,,,,93,,,,,
아시아주,아랍에미리트연합,남성,153,3,4,,29,,,27,,6,,,1,,3,,,,,,,,,,,,,,3,,,,22,,,,,55,,,,,
아시아주,아랍에미리트연합,여성,108,,2,,23,,,20,,,,,,,1,1,,,,,,,,,,,,,5,,,,18,,,,,38,,,,,
아시아주,이스라엘,총계,237,10,,,8,52,,13,,17,,1,4,10,5,1,4,,,,,4,3,,,,2,3,29,3,4,21,2,1,,,,40,,,,,
아시아주,이스라엘,남성,136,6,,,7,47,,4,,2,,1,4,9,5,1,4,,,,,,2,,,,,2,6,1,3,11,,,,,,21,,,,,
아시아주,이스라엘,여성,101,4,,,1,5,,9,,15,,,,1,,,,,,,,4,1,,,,2,1,23,2,1,10,2,1,,,,19,,,,,
아시아주,마카오,총계,109,1,25,,,,,28,,10,,,,3,,4,,,,,,1,14,,,,3,1,,,5,13,1,,,,,,,,,,
아시아주,마카오,남성,36,1,16,,,,,3,,,,,,2,,,,,,,,1,10,,,,1,,,,1,1,,,,,,,,,,,
